Date,Mass_Gt,Uncertainty_Gt
2002-04-16,0.0,134.71
2002-05-08,69.38,70.85
2002-08-15,-212.95,53.55
2002-09-17,-232.6,65.24
2002-10-16,-197.91,39.23
2002-11-14,-201.41,35.96
2002-12-17,-180.1,36.9
2003-01-15,-132.2,41.64
2003-02-13,-143.84,29.91
2003-03-15,-76.29,26.07
2003-04-16,-33.55,25.91
2003-05-12,-28.99,28.36
2003-07-17,-203.2,21.35
2003-08-15,-338.99,22.11
2003-09-17,-382.36,22.42
2003-10-16,-379.58,22.85
2003-11-14,-380.66,22.59
2003-12-17,-341.5,22.43
2004-01-08,-364.37,26.06
2004-02-17,-370.26,22.62
2004-03-17,-349.45,21.16
2004-04-16,-291.58,21.2
2004-05-15,-310.51,21.45
2004-06-17,-327.12,21.32
2004-07-16,-424.41,19.19
2004-08-14,-546.8,19.97
2004-09-16,-587.38,20.94
2004-10-16,-604.58,18.9
2004-11-14,-564.71,20.65
2004-12-17,-540.3,20.66
2005-01-15,-553.21,19.66
2005-02-13,-530.87,20.57
2005-03-15,-484.37,20.63
2005-04-16,-479.71,20.45
2005-05-16,-444.07,20.67
2005-06-17,-488.37,21.02
2005-07-17,-614.55,20.2
2005-08-15,-801.86,19.98
2005-09-17,-867.7,19.83
2005-10-16,-860.35,19.61
2005-11-14,-858.93,19.1
2005-12-17,-809.0,23.66
2006-01-15,-829.93,20.52
2006-02-13,-780.14,20.65
2006-03-15,-760.08,20.37
2006-04-16,-790.39,20.77
2006-05-16,-780.2,20.53
2006-06-14,-791.75,22.31
2006-07-17,-873.19,22.17
2006-08-15,-1000.88,20.64
2006-09-17,-1059.35,21.89
2006-10-16,-1046.74,21.51
2006-11-14,-1076.0,20.97
2006-12-17,-1086.86,21.52
2007-01-15,-1053.98,22.2
2007-02-13,-1007.92,21.6
2007-03-15,-1016.98,20.92
2007-04-16,-1006.74,21.45
2007-05-16,-996.22,21.08
2007-06-14,-1014.22,21.34
2007-07-17,-1142.87,21.13
2007-08-15,-1337.4,22.65
2007-09-17,-1399.91,22.21
2007-10-16,-1424.21,22.93
2007-11-14,-1402.12,23.76
2007-12-17,-1343.89,22.52
2008-01-15,-1303.3,22.61
2008-02-13,-1322.02,24.23
2008-03-17,-1272.28,22.61
2008-04-16,-1292.97,24.49
2008-05-15,-1306.22,23.37
2008-06-17,-1308.78,22.35
2008-07-16,-1455.08,23.18
2008-08-14,-1615.9,22.62
2008-09-16,-1679.3,22.45
2008-10-16,-1666.16,22.3
2008-11-14,-1597.24,23.83
2008-12-17,-1524.39,23.2
2009-01-15,-1503.16,23.07
2009-02-13,-1548.79,23.57
2009-03-15,-1548.96,23.06
2009-04-16,-1531.97,21.1
2009-05-16,-1514.74,20.91
2009-06-17,-1521.42,20.57
2009-07-17,-1631.6,22.02
2009-08-15,-1838.52,20.97
2009-09-17,-1892.3,20.09
2009-10-16,-1865.93,20.7
2009-11-14,-1845.27,20.6
2009-12-17,-1820.81,20.35
2010-01-15,-1819.94,20.08
2010-02-13,-1797.08,19.91
2010-03-15,-1786.27,21.09
2010-04-16,-1812.67,19.2
2010-05-16,-1785.42,19.51
2010-06-14,-1892.01,23.57
2010-07-17,-2064.05,20.44
2010-08-15,-2254.69,19.58
2010-09-17,-2350.33,20.34
2010-10-16,-2318.07,21.89
2010-11-14,-2336.76,23.03
2010-12-13,-2320.13,23.6
2011-02-17,-2295.13,26.61
2011-03-15,-2282.48,24.62
2011-04-16,-2281.64,23.78
2011-05-16,-2300.66,23.03
2011-07-17,-2488.43,24.39
2011-08-15,-2681.69,22.86
2011-09-17,-2740.13,21.74
2011-10-16,-2761.3,20.88
2011-10-30,-2759.99,21.33
2012-01-01,-2701.56,20.53
2012-01-15,-2709.48,19.57
2012-02-13,-2688.23,21.01
2012-03-17,-2643.99,19.3
2012-04-05,-2632.48,23.2
2012-06-17,-2664.98,21.24
2012-07-16,-2895.55,20.2
2012-08-14,-3203.92,20.12
2012-09-13,-3303.42,22.48
2012-11-18,-3241.09,23.04
2012-12-17,-3223.5,20.98
2013-01-15,-3221.04,20.49
2013-02-13,-3210.47,22.19
2013-04-20,-3216.52,22.91
2013-05-16,-3181.81,20.32
2013-06-17,-3159.9,20.87
2013-07-17,-3266.61,20.32
2013-10-16,-3334.92,20.23
2013-11-14,-3335.38,19.61
2013-12-17,-3322.17,19.27
2014-01-08,-3309.55,23.07
2014-03-15,-3258.73,17.16
2014-04-16,-3248.53,17.55
2014-05-16,-3244.7,17.85
2014-06-14,-3281.91,19.38
2014-08-15,-3562.11,18.17
2014-09-17,-3595.43,17.57
2014-10-16,-3579.78,16.74
2014-11-18,-3575.4,16.8
2015-01-22,-3490.48,19.66
2015-02-13,-3501.05,33.73
2015-03-15,-3454.21,15.13
2015-04-16,-3446.35,15.92
2015-04-27,-3444.42,17.03
2015-07-13,-3624.02,18.12
2015-08-15,-3759.39,17.56
2015-09-13,-3799.24,19.36
2015-12-24,-3736.84,20.12
2016-01-15,-3681.5,18.53
2016-02-13,-3703.5,17.43
2016-03-17,-3702.42,17.57
2016-05-19,-3677.19,18.82
2016-06-17,-3674.36,17.84
2016-07-16,-3843.44,18.57
2016-08-22,-4090.36,21.35
2016-11-29,-3970.96,41.53
2016-12-24,-4034.21,41.37
2017-01-22,-3983.67,41.37
2017-04-02,-3975.7,41.19
2017-04-24,-3946.71,40.51
2017-05-12,-3938.4,39.68
2017-06-10,-3965.47,39.25
2018-06-14,-4004.8,30.38
2018-07-09,-4039.21,28.68
2018-10-30,-4228.1,27.89
2018-11-14,-4191.99,24.83
2018-12-17,-4160.65,23.82
2019-01-15,-4161.61,23.4
2019-02-13,-4191.29,23.83
2019-03-15,-4204.49,23.28
2019-04-16,-4195.64,23.02
2019-05-16,-4155.48,23.13
2019-06-14,-4227.22,23.24
2019-07-17,-4412.94,22.99
2019-08-15,-4666.51,23.14
2019-09-17,-4778.35,23.3
2019-10-16,-4769.41,22.9
2019-11-14,-4704.86,23.02
2019-12-17,-4702.11,23.19
2020-01-15,-4754.78,23.43
2020-02-13,-4750.29,23.56
2020-03-17,-4754.39,23.23
2020-04-16,-4727.64,23.05
2020-05-15,-4704.67,22.98
2020-06-17,-4739.77,23.24
2020-07-16,-4866.25,22.99
2020-08-14,-4966.48,22.97
2020-09-16,-4988.82,23.25
2020-10-16,-4930.15,23.07
2020-11-14,-4919.55,23.23
2020-12-17,-4921.23,23.25
2021-01-15,-4891.08,23.01
2021-02-13,-4905.29,23.08
2021-03-15,-4893.55,23.14
2021-04-16,-4865.52,22.99
2021-05-16,-4919.26,22.82
2021-06-17,-4900.1,23.12
2021-07-17,-4931.76,22.99
2021-08-15,-5087.57,22.82
2021-09-17,-5139.27,23.1
2021-10-16,-5174.56,23.02
2021-11-14,-5171.01,22.99
2021-12-17,-5128.59,23.09
2022-01-15,-5096.16,23.15
2022-02-13,-5084.96,23.22
2022-03-15,-5055.29,23.25
2022-04-16,-5076.6,23.36
2022-05-16,-5074.35,23.06
2022-06-14,-5051.86,23.17
2022-07-17,-5155.78,23.37
2022-08-15,-5273.81,23.41
2022-09-17,-5318.38,23.49
2022-10-16,-5305.12,23.58
2022-11-14,-5225.24,23.45
2022-12-17,-5174.8,23.58
2023-01-15,-5262.54,23.62
2023-02-13,-5277.13,23.56
2023-03-15,-5217.88,23.26
2023-04-16,-5241.78,23.27
2023-05-16,-5226.52,23.17
2023-06-14,-5191.17,23.3
2023-07-17,-5263.17,23.42
2023-08-15,-5471.89,23.24
2023-09-17,-5530.87,23.26
2023-10-16,-5508.6,23.38
2023-11-14,-5489.07,23.41
2023-12-17,-5490.74,23.28
2024-01-15,-5479.19,23.5
2024-02-13,-5430.12,23.32
2024-03-17,-5409.55,23.13
2024-04-16,-5436.24,23.29
2024-05-15,-5445.83,23.3
2024-06-17,-5405.11,24.76
2024-07-16,-5498.81,26.52
2024-08-14,-5596.15,28.23
2024-09-16,-5590.36,29.72
2024-10-16,-5608.87,31.75
2024-11-14,-5602.17,33.23
2024-12-17,-5604.65,34.55
2025-01-15,-5604.17,36.27
2025-02-13,-5553.26,47.29
2025-03-15,-5530.18,58.05
2025-04-16,-5522.37,70.73
2025-05-16,-5500.53,83.88
